Designator,Mid X,Mid Y,Rotation,Layer
C0,78.575,-83.4,0.0,top
C1,102.2,-96.4,180.0,top
C10,105.7,-90.8,90.0,top
C11,78.375,-97.6,0.0,top
C12,101.5,-98.8,180.0,top
C13,99.0,-90.6,45.0,top
C14,97.9,-89.575,45.0,top
C15,82.8,-82.625,270.0,top
C16,82.4,-98.4,90.0,top
C17,148.6,-67.585,270.0,top
C18,142.325,-66.125,180.0,top
C19,139.6,-68.4,270.0,top
C2,113.775,-86.5,0.0,top
C20,141.1,-68.4,270.0,top
C21,142.6,-68.4,270.0,top
C22,148.55,-58.775,270.0,top
C23,142.275,-57.5,180.0,top
C24,143.0,-59.775,270.0,top
C25,141.5,-59.775,270.0,top
C26,140.0,-59.775,270.0,top
C27,150.1,-67.585,90.0,top
C28,150.05,-58.775,90.0,top
C29,148.49,-51.0,90.0,top
C3,108.1,-86.5,0.0,top
C30,149.99,-51.0,270.0,top
C31,142.265,-50.0,180.0,top
C32,141.49,-52.275,270.0,top
C33,139.99,-52.275,270.0,top
C34,142.99,-52.275,270.0,top
C35,100.1,-110.6,90.0,top
C4,107.725,-88.0,0.0,top
C5,111.775,-91.5,0.0,top
C6,111.775,-90.0,0.0,top
C7,107.2,-90.8,270.0,top
C8,108.0,-85.0,0.0,top
C9,100.5,-81.45,90.0,top
D2,91.96,-63.0,270.0,top
D3,88.46,-63.0,270.0,top
D4,95.5,-63.0,270.0,top
IC2,145.6,-67.625,180.0,top
IC3,145.6,-58.85,180.0,top
IC4,145.54,-51.0,180.0,top
J1,66.05,-97.6,90.0,top
J2,66.0,-83.4,90.0,top
J4,110.0,-60.73,270.0,top
J5,127.5,-103.54,0.0,top
JP1,111.0,-107.3,180.0,top
JP2,73.87,-107.4,270.0,top
JP3,76.395,-73.0,90.0,top
JP4,124.5,-84.96,180.0,top
JP5,97.7,-115.705,180.0,top
L0,87.175,-83.4,0.0,top
L1,90.2,-91.8,45.0,top
L4,75.065,-102.4,90.0,top
L5,75.0,-79.225,270.0,top
R0,109.0,-90.9125,90.0,top
R20,91.96,-59.635,270.0,top
R21,88.46,-59.635,270.0,top
R22,95.5,-59.635,270.0,top
R23,97.7,-110.7,90.0,top
U1,103.0,-86.5,180.0,top
U2,143.5,-100.5,180.0,top
X1,104.15,-105.0,0.0,top
Y1,104.0,-110.6,0.0,top
